Model,Accuracy,F1 Score,Balanced Accuracy,AUC-ROC
Logistic Regression,0.5225708219853745,0.2860075045700907,0.5263166303118807,0.5373512120431443
Random Forest,0.8202697776157492,0.00047704233750745374,0.5000670611361565,0.6194772327661148
XGBoost,0.5661898736891767,0.363207101709321,0.6139518072979314,0.6219205525652916
